Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,80694.328125,80863.671875,77900.085938,77900.085938,77900.085938,1735125
2023-02-08,77984.757813,81456.390625,77984.757813,79762.914063,79762.914063,1122894
2023-02-09,79424.218750,80440.304688,78746.828125,78746.828125,78746.828125,992394
2023-02-10,80016.937500,80016.937500,78577.476563,80016.937500,80016.937500,842879
2023-02-13,80270.953125,80779.000000,77900.085938,79170.195313,79170.195313,1054278
2023-02-14,79170.195313,79170.195313,77222.695313,78323.453125,78323.453125,1391336
2023-02-15,78323.453125,79762.914063,77222.695313,78746.828125,78746.828125,1062073
2023-02-16,78746.828125,79593.562500,78069.429688,78238.781250,78238.781250,995110
2023-02-17,78746.828125,79000.843750,77900.085938,78746.828125,78746.828125,1121005
2023-02-20,78746.828125,80016.937500,78746.828125,79424.218750,79424.218750,1371141
2023-02-21,79762.914063,80355.632813,79593.562500,79762.914063,79762.914063,821385
2023-02-22,79762.914063,79847.585938,78323.453125,78746.828125,78746.828125,1265441
2023-02-23,78746.828125,79593.562500,77222.695313,79000.843750,79000.843750,1234971
2023-02-24,78746.828125,79593.562500,76206.601563,79170.195313,79170.195313,847249
2023-02-27,78746.828125,79170.195313,77646.062500,78577.476563,78577.476563,615301
2023-02-28,78831.500000,79339.539063,78408.125000,79170.195313,79170.195313,739069
2023-03-01,78154.109375,79085.523438,78069.429688,78746.828125,78746.828125,916101
2023-03-02,78746.828125,79424.218750,77730.734375,78916.171875,78916.171875,1162930
2023-03-03,77730.734375,78577.476563,76968.671875,76968.671875,76968.671875,1021092
2023-03-06,77053.343750,78069.429688,77053.343750,77053.343750,77053.343750,840753
2023-03-07,77476.710938,78323.453125,77138.015625,77815.414063,77815.414063,1243947
2023-03-08,77053.343750,78069.429688,76799.320313,78069.429688,78069.429688,1029713
2023-03-09,77900.085938,79085.523438,77646.062500,78746.828125,78746.828125,1320476
2023-03-10,78069.429688,78323.453125,77476.710938,77984.757813,77984.757813,913857
2023-03-13,77900.085938,77900.085938,76884.000000,77476.710938,77476.710938,896615
2023-03-14,77053.343750,77222.695313,76629.976563,77053.343750,77053.343750,1070812
2023-03-15,77561.390625,77900.085938,77138.015625,77392.039063,77392.039063,1004794
2023-03-16,77053.343750,77900.085938,75783.234375,77053.343750,77053.343750,951886
2023-03-17,77053.343750,77138.015625,75359.867188,75359.867188,75359.867188,2683468
2023-03-20,75359.867188,75783.234375,72057.578125,72057.578125,72057.578125,1271937
2023-03-21,72311.601563,76121.929688,72311.601563,73243.015625,73243.015625,1385785
2023-03-22,73327.687500,76121.929688,73327.687500,75359.867188,75359.867188,1297682
2023-03-23,75190.515625,76799.320313,73920.406250,76799.320313,76799.320313,2297635
2023-03-24,77053.343750,77053.343750,75275.187500,75359.867188,75359.867188,794813
2023-03-27,75359.867188,77053.343750,74513.125000,77053.343750,77053.343750,975624
2023-03-28,76884.000000,78662.148438,76291.281250,77730.734375,77730.734375,1049672
